Redshift Table,Databricks Table
prod_staging_bing_ads.bing_ads_campaigns,staging.bing_ads.bing_ads_campaigns
prod_staging_bing_ads.bing_ads_keyword_performance,staging.bing_ads.bing_ads_keyword_performance
prod_staging_bing_ads.bing_ads_keywords,staging.bing_ads.bing_ads_keywords
prod_staging_dashboard.application,standardized.common.application
prod_staging_dashboard.application,staging.dashboard.application
prod_staging_dashboard.application_rights_history,staging.dashboard.application_rights_history
prod_staging_dashboard.applications_history,staging.dashboard.applications_history
prod_staging_dashboard.charges,staging.dashboard.charges
prod_staging_dashboard.coupons,standardized.common.coupons
prod_staging_dashboard.coupons,staging.dashboard.coupons
prod_staging_dashboard.dashboard_plan,staging.dashboard.dashboard_plan
prod_staging_dashboard.dashboard_user,staging.dashboard.dashboard_user
prod_staging_dashboard.plan_templates,staging.dashboard.plan_templates
prod_staging_dashboard.user_coupons,staging.dashboard.user_coupons
prod_staging_demandbase.demandbase_account,staging.demandbase.demandbase_account
prod_staging_demandbase.demandbase_account_attribute,staging.demandbase.demandbase_account_attribute
prod_staging_demandbase.demandbase_account_keyword_intent,staging.demandbase.demandbase_account_keyword_intent
prod_staging_demandbase.demandbase_account_list,staging.demandbase.demandbase_account_list
prod_staging_demandbase.demandbase_account_list_account,staging.demandbase.demandbase_account_list_account
prod_staging_demandbase.demandbase_account_score,staging.demandbase.demandbase_account_score
prod_staging_demandbase.demandbase_account_site_base_page_metric,staging.demandbase.demandbase_account_site_base_page_metric
prod_staging_demandbase.demandbase_all_account_score,staging.demandbase.demandbase_all_account_score
prod_staging_demandbase.demandbase_campaign,staging.demandbase.demandbase_campaign
prod_staging_demandbase.demandbase_campaign_account_historical_performances,staging.demandbase.demandbase_campaign_account_historical_performances
prod_staging_demandbase.demandbase_campaign_account_performance,staging.demandbase.demandbase_campaign_account_performance
prod_staging_demandbase.demandbase_campaign_performance_rollup,staging.demandbase.demandbase_campaign_performance_rollup
prod_staging_demandbase.demandbase_creative_performance,staging.demandbase.demandbase_creative_performance
prod_staging_demandbase.demandbase_creative_performance_rollups,staging.demandbase.demandbase_creative_performance_rollups
prod_staging_demandbase.demandbase_daily_creative_summary,staging.demandbase.demandbase_daily_creative_summary
prod_staging_demandbase.demandbase_keyword_set,staging.demandbase.demandbase_keyword_set
prod_staging_demandbase.demandbase_keyword_sets_keyword,staging.demandbase.demandbase_keyword_sets_keyword
prod_staging_ethical_ads.ethical_ads_ad_performance,staging.ethical_ads.ethical_ads_ad_performance
prod_staging_facebook_ads.facebook_ads_ad_insights,staging.facebook_ads.facebook_ads_ad_insights
prod_staging_facebook_ads.facebook_ads_ad_set,staging.facebook_ads.facebook_ads_ad_set
prod_staging_facebook_ads.facebook_ads_ads,staging.facebook_ads.facebook_ads_ads
prod_staging_facebook_ads.facebook_ads_campaigns,staging.facebook_ads.facebook_ads_campaigns
prod_staging_facebook_ads.facebook_ads_creatives,staging.facebook_ads.facebook_ads_creatives
prod_staging_gainsight.activity_timeline,staging.gainsight.activity_timeline
prod_staging_gainsight.call_to_action,staging.gainsight.call_to_action
prod_staging_gainsight.call_to_action_snapshot,staging.gainsight.call_to_action_snapshot
prod_staging_gainsight.company,staging.gainsight.company
